# Kondo et al.~\cite{kondo2020impact}
# Table 16 The median values of MCC for each context metric variant and studied project
# Metrics Chunk Projects
Types Bitcoin Camel Gerrit Gimp Hadoop Osmand
NCW + 0.130/0.269 0.090/0.178 0.170/0.316 0.203/0.268 0.156/0.361 0.118/0.415
NCW − 0.079/0.237 0.060/0.135 0.108/0.258 0.163/0.221 0.136/0.315 0.101/0.365
NCW all 0.152/0.271 0.084/0.186 0.160/0.309 0.172/0.251 0.171/0.344 0.129/0.418
NCKW + 0.228/0.238 0.106/0.135 0.216/0.268 0.191/0.211 0.260/0.311 0.238/0.346
NCKW − 0.178/0.232 0.093/0.135 0.168/0.234 0.185/0.199 0.201/0.297 0.227/0.309
NCKW all 0.199/0.213 0.118/0.128 0.233/0.270 0.190/0.233 0.261/0.296 0.239/0.343
