Projcet,DEJIT,NB,RF,LT,NF
BUG,0.769,0.774,0.591,0.495,0.446
COL,0.786,0.159,0.503,0.593,0.558
JDT,0.715,0.663,0.532,0.539,0.443
MOZ,0.605,0.598,0.455,0.369,0.332
PLA,0.748,0.749,0.632,0.469,0.470
POS,0.700,0.497,0.486,0.518,0.408
