# Kondo et al.~\cite{kondo2020impact}
#
# Table 15 The median values of AUC for each context metric variant and studied project
# Metrics Chunk Projects
#
Types Bitcoin Camel Gerrit Gimp Hadoop Osmand
NCW + 0.619/0.727 0.579/0.610 0.642/0.722 0.692/0.722 0.624/0.738 0.585/0.757
NCW − 0.580/0.663 0.548/0.561 0.594/0.655 0.619/0.672 0.636/0.690 0.567/0.695
NCW all 0.631/0.707 0.577/0.598 0.624/0.707 0.647/0.715 0.638/0.737 0.587/0.749
NCKW + 0.650/0.694 0.580/0.592 0.650/0.679 0.640/0.663 0.660/0.698 0.652/0.729
NCKW − 0.594/0.640 0.549/0.567 0.598/0.620 0.618/0.649 0.639/0.677 0.619/0.682
NCKW all 0.646/0.678 0.567/0.595 0.641/0.667 0.637/0.663 0.661/0.705 0.640/0.720
