# 
# Table 4
#
# The performance of the compared semi-supervised models and some supervised models under 10 times 10-fold cross-validation.
# 0.1 labeled rate 0.2 labeled rate
#
# F1
#
PROJECT,CBS1,TLEL1,OW1,CF1,FTF1,EATT1,CBS2,TLEL2,OW2,CF2,FTF2,EATT2
BUG,.5717,.5625,.3744,.4775,.4905,.5718,.5811,.5816,.3725,.5015,.5242,.5870
COL,.5414,.5362,.3743,.4429,.4973,.5319,.5410,.5470,.3756,.4714,.5111,.5410
JDT,.3669,.3553,.1892,.2945,.3563,.3764,.3631,.3635,.1878,.3026,.3686,.3798
MOZ,.2147,.2150,.0567,.1784,.2600,.2335,.2190,.2222,.0592,.1791,.2669,.2402
PLA,.3753,.3830,.1892,.3207,.3913,.3890,.3761,.3908,.1877,.3300,.4011,.3915
POS,.5445,.5339,.2704,.4542,.5297,.5477,.5470,.5427,.2702,.4573,.5430,.5543
